epoch,lr-AdamW,step,train_acc,train_iou,train_loss,train_precision,train_sensitivity,train_specificity,val_acc,val_iou,val_loss,val_precision,val_sensitivity,val_specificity
,0.0001,0,,,,,,,,,,,,
0,,1,,,,,,,0.2563078701496124,0.08393044024705887,0.010896232910454273,0.08589334785938263,0.785988450050354,0.20603151619434357
0,,1,0.4490615129470825,0.10108385235071182,0.02573600597679615,0.10461226105690002,0.7498117089271545,0.4219737946987152,,,,,,
,0.0001,2,,,,,,,,,,,,
1,,3,,,,,,,0.23974041640758514,0.1010841652750969,0.002525909570977092,0.1012275218963623,0.9861839413642883,0.16888928413391113
1,,3,0.3690812885761261,0.11054612696170807,0.0038659332785755396,0.11120637506246567,0.9490302205085754,0.3168468773365021,,,,,,
,0.0001,4,,,,,,,,,,,,
2,,5,,,,,,,0.2977967858314514,0.1097164899110794,0.0011555321980267763,0.10973762720823288,0.9982476830482483,0.23131121695041656
2,,5,0.33532190322875977,0.10963176935911179,0.0011777934851124883,0.10974688082933426,0.9905232191085815,0.2763097286224365,,,,,,
,0.0001,6,,,,,,,,,,,,
3,,7,,,,,,,0.33595195412635803,0.11546185612678528,0.0006641101208515465,0.11546328663825989,0.9998927116394043,0.27293187379837036
3,,7,0.324027419090271,0.10880381613969803,0.00032247582566924393,0.10881782323122025,0.9988180994987488,0.2632509171962738,,,,,,
,0.0001,8,,,,,,,,,,,,
4,,9,,,,,,,0.35165342688560486,0.1179308071732521,0.00037594643072225153,0.11793196946382523,0.9999165534973145,0.2901214361190796
4,,9,0.32432636618614197,0.10889720171689987,0.0001968370925169438,0.10890506207942963,0.9993380308151245,0.2635299563407898,,,,,,
,0.0001,10,,,,,,,,,,,,
5,,11,,,,,,,0.35773706436157227,0.11891503632068634,0.0002011138276429847,0.11891621351242065,0.9999165534973145,0.2967824935913086
5,,11,0.31907331943511963,0.10819607228040695,9.150541882263497e-05,0.10819798707962036,0.9998365044593811,0.25775885581970215,,,,,,
,0.0001,12,,,,,,,,,,,,
6,,13,,,,,,,0.3630290925502777,0.11978716403245926,0.00011083518620580435,0.1197880208492279,0.9999403953552246,0.3025745749473572
6,,13,0.31818222999572754,0.10808131843805313,2.136181683454197e-05,0.10808184742927551,0.9999544620513916,0.25677689909935,,,,,,
,0.0001,14,,,,,,,,,,,,
7,,15,,,,,,,0.365264356136322,0.1201595738530159,6.0827038396382704e-05,0.12016026675701141,0.9999523162841797,0.30502086877822876
7,,15,0.3157036006450653,0.10773226618766785,2.6162755602854304e-05,0.10773276537656784,0.9999571442604065,0.2540748119354248,,,,,,
,0.0001,16,,,,,,,,,,,,
8,,17,,,,,,,0.3649439811706543,0.120107501745224,3.358579851919785e-05,0.12010801583528519,0.9999642372131348,0.30466896295547485
8,,17,0.3128946125507355,0.10734270513057709,7.10865833752905e-06,0.10734277218580246,0.9999946355819702,0.25100943446159363,,,,,,
,0.0001,18,,,,,,,,,,,,
9,,19,,,,,,,0.364638090133667,0.12005788087844849,1.9972823793068528e-05,0.12005822360515594,0.9999761581420898,0.3043329119682312
9,,19,0.3128868639469147,0.10734111070632935,8.118086043396033e-06,0.1073412373661995,0.9999892711639404,0.2510014474391937,,,,,,
,0.0001,20,,,,,,,,,,,,
10,,21,,,,,,,0.36275628209114075,0.11974705010652542,1.2182925274828449e-05,0.11974722146987915,0.9999880790710449,0.3022713363170624
10,,21,0.30780166387557983,0.10663560777902603,1.0192574336542748e-05,0.10663585364818573,0.9999785423278809,0.2454591989517212,,,,,,
,0.0001,22,,,,,,,,,,,,
11,,23,,,,,,,0.36096125841140747,0.11944836378097534,8.092765710898675e-06,0.11944887042045593,0.9999642372131348,0.3003082275390625
11,,23,0.30900076031684875,0.10679987072944641,8.53656092658639e-06,0.10680023580789566,0.9999678134918213,0.24676728248596191,,,,,,
,0.0001,24,,,,,,,,,,,,
12,,25,,,,,,,0.359321266412735,0.11918029189109802,5.841285656060791e-06,0.11918062716722488,0.9999761581420898,0.29851141571998596
12,,25,0.3068937361240387,0.10651258379220963,1.524195795354899e-06,0.10651261359453201,0.9999973177909851,0.2444678246974945,,,,,,
,0.0001,26,,,,,,,,,,,,
13,,27,,,,,,,0.35638538002967834,0.11870117485523224,4.154574071435491e-06,0.1187015101313591,0.9999761581420898,0.295296847820282
13,,27,0.3070726692676544,0.10653741657733917,1.7270596117668902e-06,0.10653741657733917,1.0,0.24466262757778168,,,,,,
,0.0001,28,,,,,,,,,,,,
14,,29,,,,,,,0.35311776399612427,0.11817242950201035,3.073464540648274e-06,0.11817276477813721,0.9999761581420898,0.29171907901763916
14,,29,0.3040205240249634,0.10611952841281891,2.2126589556137333e-06,0.1061195582151413,0.9999973177909851,0.24133582413196564,,,,,,
,0.0001,30,,,,,,,,,,,,
15,,31,,,,,,,0.3500041365623474,0.11767420917749405,2.341519348192378e-06,0.11767437309026718,0.9999880790710449,0.2883087992668152
15,,31,0.30427029728889465,0.10615383833646774,7.464294640158187e-07,0.10615383833646774,1.0,0.24160785973072052,,,,,,
,0.0001,32,,,,,,,,,,,,
16,,33,,,,,,,0.3463190197944641,0.11708972603082657,1.8037693507721997e-06,0.11708972603082657,1.0,0.2842727601528168
16,,33,0.3014506697654724,0.10577067732810974,3.221106794626394e-07,0.10577067732810974,1.0,0.23853427171707153,,,,,,
,0.0001,34,,,,,,,,,,,,
17,,35,,,,,,,0.3426814675331116,0.11651726067066193,1.349667513750319e-06,0.11651726067066193,1.0,0.2802899181842804
17,,35,0.30243098735809326,0.10590332746505737,4.783303211297607e-07,0.10590335726737976,0.9999973177909851,0.23960314691066742,,,,,,
,0.0001,36,,,,,,,,,,,,
18,,37,,,,,,,0.33931463956832886,0.11599236726760864,1.0062911997010815e-06,0.11599236726760864,1.0,0.2766035497188568
18,,37,0.3024846017360687,0.10591086000204086,1.4573168982678908e-06,0.10591086000204086,1.0,0.2396613210439682,,,,,,
,0.0001,38,,,,,,,,,,,,
