epoch,lr-AdamW,step,train_acc,train_iou,train_loss,train_precision,train_sensitivity,train_specificity,val_acc,val_iou,val_loss,val_precision,val_sensitivity,val_specificity
,0.0001,0,,,,,,,,,,,,
0,,1,,,,,,,0.2679044008255005,0.0977853387594223,0.15176387131214142,0.09866324812173843,0.9165941476821899,0.20642705261707306
0,,1,0.23059162497520447,0.08044326305389404,0.5230483412742615,0.08194275200366974,0.8146772980690002,0.17798875272274017,,,,,,
,0.0001,2,,,,,,,,,,,,
1,,3,,,,,,,0.30747702717781067,0.07519121468067169,0.10512235015630722,0.07835786789655685,0.6504213213920593,0.27497565746307373
1,,3,0.31055688858032227,0.0786619558930397,0.2601240277290344,0.08124109357595444,0.7124620079994202,0.2743612229824066,,,,,,
,0.0001,4,,,,,,,,,,,,
2,,5,,,,,,,0.4101344048976898,0.061024028807878494,0.09437649697065353,0.06609898060560226,0.44283798336982727,0.4070350229740143
2,,5,0.48945528268814087,0.08512981981039047,0.15547358989715576,0.09084584563970566,0.5750075578689575,0.4817504286766052,,,,,,
,0.0001,6,,,,,,,,,,,,
3,,7,,,,,,,0.4882676899433136,0.05732620134949684,0.08775850385427475,0.06384771317243576,0.35948434472084045,0.5004726648330688
3,,7,0.6811520457267761,0.09772291779518127,0.10031931847333908,0.11311490833759308,0.4179821312427521,0.7048531770706177,,,,,,
,0.0001,8,,,,,,,,,,,,
4,,9,,,,,,,0.5840529203414917,0.05850357934832573,0.080483578145504,0.06782566756010056,0.2985707223415375,0.6111085414886475
4,,9,0.7927091121673584,0.1017998531460762,0.07195981591939926,0.13686341047286987,0.28436213731765747,0.8384909629821777,,,,,,
,0.0001,10,,,,,,,,,,,,
5,,11,,,,,,,0.7174291014671326,0.06779475510120392,0.07182206958532333,0.08667105436325073,0.2373872846364975,0.7629234194755554
5,,11,0.8703083395957947,0.0945349708199501,0.05650175362825394,0.18260128796100616,0.16388918459415436,0.9339286088943481,,,,,,
,0.0001,12,,,,,,,,,,,,
6,,13,,,,,,,0.8149519562721252,0.08154281973838806,0.06340665370225906,0.12508893013000488,0.1897827386856079,0.8742002248764038
6,,13,0.8979781270027161,0.0762643963098526,0.048763345927000046,0.2323690801858902,0.10194948315620422,0.9696686267852783,,,,,,
,0.0001,14,,,,,,,,,,,,
7,,15,,,,,,,0.8446097373962402,0.08190422505140305,0.05653475597500801,0.14358185231685638,0.1601354479789734,0.909478485584259
7,,15,0.9092791676521301,0.059182070195674896,0.044812384992837906,0.29243168234825134,0.0690731406211853,0.9849482774734497,,,,,,
,0.0001,16,,,,,,,,,,,,
8,,17,,,,,,,0.8551756143569946,0.07649987190961838,0.051118627190589905,0.1458568125963211,0.13858327269554138,0.9230881929397583
8,,17,0.909356951713562,0.05843301862478256,0.0416412316262722,0.29185619950294495,0.0680861845612526,0.98512202501297,,,,,,
,0.0001,18,,,,,,,,,,,,
9,,19,,,,,,,0.8615670204162598,0.07146647572517395,0.046739112585783005,0.14560657739639282,0.12308067083358765,0.9315544962882996
9,,19,0.9115114808082581,0.05982068553566933,0.03961392864584923,0.3286861479282379,0.06814677268266678,0.9874650835990906,,,,,,
,0.0001,20,,,,,,,,,,,,
10,,21,,,,,,,0.873559296131134,0.06409133970737457,0.04259632155299187,0.15140056610107422,0.10002262890338898,0.9468685388565063
10,,21,0.914897620677948,0.06775529682636261,0.0373971089720726,0.4164193570613861,0.07486392557621002,0.990551233291626,,,,,,
,0.0001,22,,,,,,,,,,,,
11,,23,,,,,,,0.8812685608863831,0.06141328066587448,0.04005815461277962,0.16286233067512512,0.08974269777536392,0.9562826752662659
11,,23,0.914290189743042,0.06930741667747498,0.036245279014110565,0.4025479257106781,0.07725411653518677,0.9896737933158875,,,,,,
,0.0001,24,,,,,,,,,,,,
12,,25,,,,,,,0.8937581181526184,0.05397915840148926,0.0377766452729702,0.19063980877399445,0.07002715766429901,0.9718244075775146
12,,25,0.9153001308441162,0.07986310869455338,0.03522540628910065,0.4380231201648712,0.0889803096652031,0.9897186756134033,,,,,,
,0.0001,26,,,,,,,,,,,,
13,,27,,,,,,,0.9054452180862427,0.042779117822647095,0.03601215034723282,0.2570590376853943,0.04881445690989494,0.9866294860839844
13,,27,0.9161281585693359,0.07286681979894638,0.03440431132912636,0.4566238522529602,0.07978501915931702,0.9914494156837463,,,,,,
,0.0001,28,,,,,,,,,,,,
14,,29,,,,,,,0.9118742942810059,0.03148549795150757,0.03478004410862923,0.393093466758728,0.03309425339102745,0.9951576590538025
14,,29,0.9195806980133057,0.08352363109588623,0.033198557794094086,0.5883039236068726,0.08870865404605865,0.9944092035293579,,,,,,
,0.0001,30,,,,,,,,,,,,
15,,31,,,,,,,0.9131869077682495,0.02080606482923031,0.03379826992750168,0.4687859117984772,0.021308450028300285,0.9977116584777832
15,,31,0.9207321405410767,0.09324344247579575,0.03219917044043541,0.6293964385986328,0.09866028279066086,0.9947680830955505,,,,,,
,0.0001,32,,,,,,,,,,,,
16,,33,,,,,,,0.9132193326950073,0.016901841387152672,0.03307376429438591,0.46665096282958984,0.01723477616906166,0.9981331825256348
16,,33,0.920952558517456,0.09966602176427841,0.03191754221916199,0.628222644329071,0.10591293126344681,0.9943551421165466,,,,,,
,0.0001,34,,,,,,,,,,,,
