epoch,lr-AdamW,step,train_acc,train_iou,train_loss,train_precision,train_sensitivity,train_specificity,val_acc,val_iou,val_loss,val_precision,val_sensitivity,val_specificity
,0.0001,0,,,,,,,,,,,,
0,,17,,,,,,,0.4801326096057892,0.37061184644699097,0.009663303382694721,0.3730560839176178,0.9826285243034363,0.25275203585624695
0,,17,0.5237592458724976,0.37904495000839233,0.033957988023757935,0.3983715772628784,0.8865326642990112,0.34675899147987366,,,,,,
,0.0001,18,,,,,,,,,,,,
1,,35,,,,,,,0.31205081939697266,0.31169426441192627,8.761871868046e-05,0.31169429421424866,0.9999995231628418,0.000752462015952915
1,,35,0.33206599950790405,0.3292604088783264,0.00010627890151226893,0.32927119731903076,0.9999005198478699,0.006223645061254501,,,,,,
,0.0001,36,,,,,,,,,,,,
2,,53,,,,,,,0.31158560514450073,0.3115493357181549,1.3762727576249745e-05,0.3115493357181549,1.0,7.650486077181995e-05
2,,53,0.3280775845050812,0.3279685974121094,1.244024679181166e-05,0.3279687166213989,0.9999987483024597,0.00024137983564287424,,,,,,
,0.0001,54,,,,,,,,,,,,
3,,71,,,,,,,0.31156110763549805,0.31154170632362366,8.018484550120775e-06,0.31154170632362366,1.0,4.093393363291398e-05
3,,71,0.3279823958873749,0.327937513589859,6.518843292724341e-06,0.3279375731945038,0.9999994039535522,9.936767310136929e-05,,,,,,
,0.0001,72,,,,,,,,,,,,
4,,89,,,,,,,0.3115569055080414,0.3115403950214386,6.7550477069744375e-06,0.3115403950214386,1.0,3.480478699202649e-05
4,,89,0.32798466086387634,0.3279383182525635,5.8863097365247086e-06,0.32793837785720825,0.9999997019767761,0.000102611054899171,,,,,,
,0.0001,90,,,,,,,,,,,,
5,,107,,,,,,,0.3115650415420532,0.31154292821884155,7.645493496966083e-06,0.31154292821884155,1.0,4.662528226617724e-05
5,,107,0.327983558177948,0.3279378414154053,5.644274551741546e-06,0.3279379606246948,0.9999992251396179,0.00010121759987669066,,,,,,
,0.0001,108,,,,,,,,,,,,
6,,125,,,,,,,0.31157544255256653,0.3115461766719818,5.212273208599072e-06,0.3115461766719818,1.0,6.172924622660503e-05
6,,125,0.3279615640640259,0.3279307186603546,4.338263352110516e-06,0.3279307782649994,0.9999995827674866,6.830326310591772e-05,,,,,,
,0.0001,126,,,,,,,,,,,,
7,,143,,,,,,,0.3115602135658264,0.31154143810272217,4.332227945269551e-06,0.31154143810272217,1.0,3.962054324802011e-05
7,,143,0.3279399871826172,0.32792365550994873,4.190648269286612e-06,0.3279237151145935,0.9999997019767761,3.613369699451141e-05,,,,,,
,0.0001,144,,,,,,,,,,,,
8,,161,,,,,,,0.31154587864875793,0.311536967754364,4.085003638465423e-06,0.311536967754364,1.0,1.882523065432906e-05
8,,161,0.3279527425765991,0.3279278874397278,3.635363100329414e-06,0.32792791724205017,0.9999998807907104,5.4993375670164824e-05,,,,,,
,0.0001,162,,,,,,,,,,,,
9,,179,,,,,,,0.3115440905094147,0.31153640151023865,3.899761850334471e-06,0.31153640151023865,1.0,1.6198455341509543e-05
9,,179,0.3279673159122467,0.3279326260089874,3.3028579764504684e-06,0.3279326856136322,0.9999998211860657,7.676008681301028e-05,,,,,,
,0.0001,180,,,,,,,,,,,,
10,,197,,,,,,,0.311546266078949,0.31153708696365356,3.5065900192421395e-06,0.31153708696365356,1.0,1.9372475435375236e-05
10,,197,0.3279619812965393,0.3279308080673218,3.3035285014193505e-06,0.32793086767196655,0.9999994039535522,6.899998697917908e-05,,,,,,
,0.0001,198,,,,,,,,,,,,
11,,215,,,,,,,0.3115446865558624,0.311536580324173,3.1399006275023567e-06,0.311536580324173,1.0,1.7074047718779184e-05
11,,215,0.32797691226005554,0.3279357850551605,2.619691258587409e-06,0.3279358148574829,0.9999998211860657,9.100695024244487e-05,,,,,,
,0.0001,216,,,,,,,,,,,,
12,,233,,,,,,,0.31154635548591614,0.31153711676597595,2.4297498839587206e-06,0.31153711676597595,1.0,1.9481925846775994e-05
12,,233,0.3279954493045807,0.3279418647289276,2.608659997349605e-06,0.3279419243335724,0.9999998211860657,0.00011863576946780086,,,,,,
,0.0001,234,,,,,,,,,,,,
13,,251,,,,,,,0.31153902411460876,0.3115348219871521,2.203537405875977e-06,0.3115348219871521,1.0,8.865370546118356e-06
13,,251,0.3279515206813812,0.32792750000953674,1.5361219993792474e-06,0.32792750000953674,1.0,5.314344525686465e-05,,,,,,
,0.0001,252,,,,,,,,,,,,
14,,269,,,,,,,0.31153640151023865,0.31153401732444763,2.0241745914972853e-06,0.31153401732444763,1.0,5.034654805058381e-06
14,,269,0.3279719054698944,0.327934205532074,1.922575620483258e-06,0.327934205532074,1.0,8.346307731699198e-05,,,,,,
,0.0001,270,,,,,,,,,,,,
15,,287,,,,,,,0.311545729637146,0.31153690814971924,2.0916129415127216e-06,0.31153690814971924,1.0,1.8606333469506353e-05
15,,287,0.32794955372810364,0.32792648673057556,2.324507704543066e-06,0.3279266655445099,0.9999982118606567,5.107728793518618e-05,,,,,,
,0.0001,288,,,,,,,,,,,,
16,,305,,,,,,,0.31154167652130127,0.31153565645217896,1.8503760657040402e-06,0.31153565645217896,1.0,1.2696085832430981e-05
16,,305,0.32793983817100525,0.32792365550994873,1.3581853863797733e-06,0.3279236853122711,1.0,3.574929723981768e-05,,,,,,
,0.0001,306,,,,,,,,,,,,
17,,323,,,,,,,0.31154122948646545,0.311535507440567,1.8847051705961348e-06,0.311535507440567,1.0,1.2039392458973452e-05
17,,323,0.32793596386909485,0.32792243361473083,1.714187874313211e-06,0.32792243361473083,1.0,3.00073061225703e-05,,,,,,
,0.0001,324,,,,,,,,,,,,
18,,341,,,,,,,0.31153661012649536,0.3115340769290924,1.4276034789872938e-06,0.3115340769290924,1.0,5.363001946534496e-06
18,,341,0.3279396891593933,0.32792362570762634,1.3119962432028842e-06,0.32792362570762634,1.0,3.5533070331439376e-05,,,,,,
,0.0001,342,,,,,,,,,,,,
19,,359,,,,,,,0.311535120010376,0.3115336000919342,1.260306248695997e-06,0.3115336000919342,1.0,3.1740214581077453e-06
